name,market_capitalization_USD,price,country
Target,73710000000.0,160.0,USA
Hindustan Unilever,73330000000.0,31.0,India
Sinopec,72940000000.0,1.0,China
Canadian Pacific Railway,72110000000.0,78.0,Canada
SABIC,72040000000.0,24.0,S. Arabia
HCA Healthcare,71950000000.0,255.0,USA
GlaxoSmithKline,71840000000.0,35.0,UK
U.S. Bancorp,70860000000.0,46.0,USA
Zurich Insurance Group,70360000000.0,474.0,Switzerland
Iberdrola,70180000000.0,11.0,Spain
3M,70040000000.0,127.0,USA
Illinois Tool Works,69710000000.0,227.0,USA
Moderna,69280000000.0,180.0,USA
China Yangtze Power,69050000000.0,3.0,China
Air Products and Chemicals,68850000000.0,310.0,USA
Zoetis,68810000000.0,148.0,USA
AXA,68460000000.0,29.0,France
General Dynamics,68150000000.0,248.0,USA
Kering,67890000000.0,555.0,France
CSX Corporation,67690000000.0,32.0,USA
Bank of Montreal,67440000000.0,95.0,Canada
China Tourism Group Duty Free,67360000000.0,33.0,China
Petrobras,67040000000.0,10.0,Brazil
Colgate-Palmolive,66800000000.0,80.0,USA
Boston Scientific,66350000000.0,46.0,USA
PNC Financial Services,66220000000.0,164.0,USA
DBS Group,65960000000.0,26.0,Singapore
Bank Central Asia,65570000000.0,1.0,Indonesia
Waste Management,65460000000.0,159.0,USA
KDDI,65020000000.0,30.0,Japan
State Bank of India,64930000000.0,7.0,India
Fiserv,64880000000.0,102.0,USA
Walmex,64770000000.0,4.0,Mexico
Eaton,64060000000.0,161.0,Ireland
SoftBank,63790000000.0,44.0,Japan
CNOOC,63700000000.0,1.0,China
Aon,63570000000.0,307.0,UK
UBS,63420000000.0,20.0,Switzerland
National Australia Bank,63360000000.0,20.0,Australia
Nongfu Spring,63190000000.0,6.0,China
Postal Savings Bank of China,63120000000.0,1.0,China
Crown Castle,63090000000.0,146.0,USA
CME Group,62980000000.0,175.0,USA
Equinix,62360000000.0,674.0,USA
Humana,62350000000.0,493.0,USA
BMW,62000000000.0,94.0,Germany
Micron Technology,61940000000.0,57.0,USA
America Movil,61210000000.0,19.0,Mexico
Sherwin-Williams,61100000000.0,236.0,USA
Fast Retailing,60960000000.0,597.0,Japan
ABB,60960000000.0,33.0,Switzerland
Truist Financial,60840000000.0,46.0,USA
Canadian Natural Resources,60780000000.0,55.0,Canada
Lam Research,60720000000.0,445.0,USA
Activision Blizzard,60720000000.0,78.0,USA
Freeport-McMoRan,60430000000.0,42.0,USA
Scotiabank,60040000000.0,50.0,Canada
Enel,60000000000.0,6.0,Italy
Norfolk Southern,59210000000.0,256.0,USA
Hong Kong Exchanges & Clearing,58800000000.0,46.0,Hong Kong
The Saudi National Bank,58720000000.0,13.0,S. Arabia
Intercontinental Exchange,58590000000.0,105.0,USA
Daiichi Sankyō,58440000000.0,30.0,Japan
Vinci,58430000000.0,104.0,France
Occidental Petroleum,57940000000.0,64.0,USA
MetLife,57730000000.0,74.0,USA
Bharti Airtel,57490000000.0,10.0,India
Housing Development Finance Corporation,57440000000.0,31.0,India
Charter Communications,57240000000.0,368.0,USA
Blackstone Group,57190000000.0,79.0,USA
Emerson,57030000000.0,98.0,USA
KLA,56890000000.0,398.0,USA
Atlas Copco,56740000000.0,11.0,Sweden
Investor AB,56500000000.0,18.0,Sweden
Thomson Reuters,56320000000.0,117.0,Canada
Heineken,56150000000.0,98.0,Netherlands
Mindray,56050000000.0,46.0,China
Airbnb,56040000000.0,89.0,USA
Anglo American,55910000000.0,42.0,UK
KKR & Co.,55710000000.0,48.0,USA
Siemens Healthineers,55640000000.0,50.0,Germany
RELX,55620000000.0,28.0,UK
Dollar General,55570000000.0,249.0,USA
Pioneer Natural Resources,55460000000.0,233.0,USA
Sumitomo Mitsui Financial Group,55320000000.0,8.0,Japan
Westpac Banking,55250000000.0,16.0,Australia
Verbund AG,55080000000.0,79.0,Austria
Safran,55050000000.0,129.0,France
China Telecom,55010000000.0,0.0,China
Midea,54920000000.0,8.0,China
Marathon Petroleum,54740000000.0,117.0,USA
McKesson,54730000000.0,386.0,USA
Industrial Bank,54650000000.0,3.0,China
Santander,54500000000.0,3.0,Spain
Enterprise Products,54380000000.0,25.0,USA
Life Insurance Corporation of India (LIC),54200000000.0,9.0,India
Vmware,53660000000.0,126.0,USA
United Heavy Machinery,53580000000.0,63.0,Russia
NetEase,53530000000.0,82.0,China
Monster Beverage,53480000000.0,102.0,USA
Foshan Haitian Flavouring and Food,53410000000.0,12.0,China
Moody's,53070000000.0,290.0,USA
Adani Enterprises,52810000000.0,46.0,India
O'Reilly Automotive,52720000000.0,843.0,USA
Uber,52650000000.0,26.0,USA
Recruit,52200000000.0,33.0,Japan
Kraft Heinz,52160000000.0,43.0,USA
Southern Copper,52100000000.0,67.0,USA
Bayer,51980000000.0,53.0,Germany
ENI,51960000000.0,30.0,Italy
Dominion Energy,51550000000.0,62.0,USA
Keurig Dr Pepper,51350000000.0,36.0,USA
BASF,51060000000.0,56.0,Germany
General Motors,51010000000.0,36.0,USA
Pernod Ricard,50810000000.0,196.0,France
General Mills,50680000000.0,86.0,USA
Ford,50570000000.0,13.0,USA
ITC,50370000000.0,4.0,India
Reckitt Benckiser,49980000000.0,70.0,UK
Saudi Telecom Company,49980000000.0,10.0,S. Arabia
Phillips 66,49950000000.0,106.0,USA
Stellantis,49640000000.0,15.0,Netherlands
American Electric Power,49600000000.0,97.0,USA
Valero Energy,49170000000.0,128.0,USA
EDF (Electricité de France),49100000000.0,13.0,France
Shin-Etsu Chemical,48900000000.0,121.0,Japan
Synopsys,48850000000.0,321.0,USA
Public Storage,48740000000.0,277.0,USA
Sempra Energy,48570000000.0,155.0,USA
Bank of Communications,48560000000.0,1.0,China
Marriott International,48550000000.0,153.0,USA
Dassault Systèmes,48520000000.0,37.0,France
Takeda Pharmaceutical,48430000000.0,16.0,Japan
ING,48210000000.0,13.0,Netherlands
Tokyo Electron,48100000000.0,309.0,Japan
Nintendo,48040000000.0,41.0,Japan
American International Group,47950000000.0,65.0,USA
ANZ Bank,47870000000.0,16.0,Australia
Munich RE (Münchener Rück),47750000000.0,342.0,Germany
Edwards Lifesciences,47610000000.0,77.0,USA
Bank Rakyat Indonesia,47510000000.0,0.0,Indonesia
Deutsche Post,47410000000.0,39.0,Germany
Adani Total Gas,47370000000.0,43.0,India
Archer Daniels Midland (ADM),47210000000.0,86.0,USA
London Stock Exchange,47100000000.0,85.0,UK
Roper Technologies,47050000000.0,444.0,USA
LONGi Green Energy Technology,47020000000.0,6.0,China
FedEx,46880000000.0,186.0,USA
Shopify,46870000000.0,37.0,Canada
National Grid,46860000000.0,64.0,UK
Amphenol,46750000000.0,79.0,USA
Kimberly-Clark,46720000000.0,138.0,USA
AutoZone,46660000000.0,2487.0,USA
Oriental Land,46430000000.0,142.0,Japan
Itaú Unibanco,46290000000.0,5.0,Brazil
The Hershey Company,46270000000.0,226.0,USA
Hikvision,46260000000.0,5.0,China
Hitachi,46120000000.0,49.0,Japan
Johnson Controls,46110000000.0,67.0,Ireland
Mitsubishi Corporation,46000000000.0,32.0,Japan
Baidu,45970000000.0,133.0,China
Alimentation Couche-Tard,45950000000.0,46.0,Canada
Aflac,45910000000.0,74.0,USA
Samsung Biologics,45650000000.0,634.0,S. Korea
Woodside Energy,45590000000.0,24.0,Australia
Budweiser APAC,45590000000.0,3.0,Hong Kong
DexCom,45450000000.0,116.0,USA
The Travelers Companies,45430000000.0,194.0,USA
Maaden,45400000000.0,18.0,S. Arabia
Fortescue,45330000000.0,15.0,Australia
Intesa Sanpaolo,45090000000.0,2.0,Italy
Macquarie,45010000000.0,116.0,Australia
Cintas,44900000000.0,442.0,USA
Universal Music Group,44870000000.0,25.0,Netherlands
SK Hynix,44850000000.0,65.0,S. Korea
Centene,44540000000.0,79.0,USA
Simon Property Group,44480000000.0,119.0,USA
Daikin,44460000000.0,152.0,Japan
Foxconn (Hon Hai Precision Industry),44420000000.0,3.0,Taiwan
Hess,44300000000.0,144.0,USA
Adyen,44140000000.0,1380.0,Netherlands
Motorola Solutions,44110000000.0,264.0,USA
Bayan Resources,43950000000.0,1.0,Indonesia
MercadoLibre,43930000000.0,873.0,Argentina
Bajaj Finance,43860000000.0,72.0,India
Cadence Design Systems,43790000000.0,160.0,USA
Agilent Technologies,43720000000.0,148.0,USA
Itōchū Shōji,43640000000.0,30.0,Japan
Kuaishou Technology,43590000000.0,10.0,China
Corteva,43590000000.0,61.0,USA
Exelon Corporation,43390000000.0,44.0,USA
Mitsui Bussan,43200000000.0,28.0,Japan
Kotak Mahindra Bank,42990000000.0,22.0,India
Wanhua Chemical,42750000000.0,14.0,China
Ambev,42650000000.0,3.0,Brazil
Suncor Energy,42600000000.0,31.0,Canada
Ecolab,42570000000.0,149.0,USA
S.F. Express,42410000000.0,9.0,China
Paychex,42330000000.0,117.0,USA
BCE,42080000000.0,46.0,Canada
Banco Santander Brasil,42060000000.0,6.0,Brazil
lululemon athletica,41980000000.0,329.0,Canada
Ross Stores,41860000000.0,122.0,USA
Newmont,41820000000.0,53.0,USA
Prudential,41780000000.0,30.0,UK
OCBC Bank,41770000000.0,9.0,Singapore
Kinder Morgan,41760000000.0,19.0,USA
Infineon,41750000000.0,32.0,Germany
CITIC Securities,41690000000.0,3.0,China
Workday,41410000000.0,161.0,USA
NXP Semiconductors,41360000000.0,160.0,Netherlands
Block,41260000000.0,69.0,USA
Ping An Bank,41230000000.0,2.0,China
Fidelity National Information Services,41120000000.0,69.0,USA
Ferrari,41110000000.0,224.0,Italy
Trane Technologies,41100000000.0,179.0,Ireland
Tokio Marine,40920000000.0,20.0,Japan
Chugai Pharmaceutical,40800000000.0,25.0,Japan
Palo Alto Networks,40770000000.0,135.0,USA
Nordea Bank,40750000000.0,11.0,Finland
TC Energy,40620000000.0,40.0,Canada
Republic Services,40560000000.0,128.0,USA
Honda,40530000000.0,24.0,Japan
Sun Hung Kai Properties,40500000000.0,14.0,Hong Kong
Nutrien,40500000000.0,77.0,Canada
Arthur J. Gallagher & Co.,40480000000.0,192.0,USA
Autodesk,40380000000.0,187.0,USA
Biogen,40210000000.0,279.0,USA
Realty Income,40180000000.0,64.0,USA
Devon Energy,40020000000.0,61.0,USA
Microchip Technology,40020000000.0,73.0,USA
Banco Bilbao Vizcaya Argentaria,40020000000.0,7.0,Spain
Snowflake,39890000000.0,124.0,USA
Compass Group,39880000000.0,23.0,UK
Sysco,39880000000.0,79.0,USA
Ørsted,39690000000.0,91.0,Denmark
Williams Companies,39660000000.0,33.0,USA
Parker-Hannifin,39610000000.0,309.0,USA
Zijin Mining,39580000000.0,2.0,China
Constellation Brands,39520000000.0,214.0,USA
Las Vegas Sands,39400000000.0,52.0,USA
Lloyds Banking Group,39360000000.0,2.0,UK
L3Harris Technologies,39250000000.0,206.0,USA
East Money Information,39120000000.0,3.0,China
Naspers,39070000000.0,37.0,South Africa
Xcel Energy,39010000000.0,71.0,USA
Chipotle Mexican Grill,38860000000.0,1402.0,USA
Bank of New York Mellon,38750000000.0,48.0,USA
Dow,38720000000.0,55.0,USA
Apollo Global Management,38590000000.0,64.0,USA
CIBC,38430000000.0,42.0,Canada
UOB,38400000000.0,23.0,Singapore
Volvo Group,38370000000.0,19.0,Sweden
Jardine Matheson,38340000000.0,53.0,Hong Kong
TE Connectivity,38190000000.0,120.0,Switzerland
IQVIA,38140000000.0,205.0,USA
Sika,38060000000.0,249.0,Switzerland
Fortinet,38030000000.0,49.0,USA
Muyuan Foods,37770000000.0,7.0,China
Energy Transfer Partners,37520000000.0,12.0,USA
MSCI,37500000000.0,469.0,USA
Allstate,37490000000.0,141.0,USA
Maersk,37350000000.0,2135.0,Denmark
Bank of China (Hong Kong),37340000000.0,4.0,Hong Kong
WuXi AppTec,37230000000.0,12.0,China
Prudential Financial,37170000000.0,101.0,USA
IDEXX Laboratories,37080000000.0,448.0,USA
Capital One,37050000000.0,97.0,USA
Mizuho Financial Group,37000000000.0,3.0,Japan
Xiaomi,36970000000.0,1.0,China
Nucor,36920000000.0,144.0,USA
Denso,36850000000.0,49.0,Japan
7-Eleven,36780000000.0,42.0,Japan
Yum! Brands,36700000000.0,130.0,USA
Halliburton,36510000000.0,40.0,USA
YANGHE,36500000000.0,24.0,China
Cenovus Energy,36480000000.0,19.0,Canada
Jiangsu Hengrui Medicine,36440000000.0,6.0,China
BioNTech,36420000000.0,150.0,Germany
Lonza,36270000000.0,489.0,Switzerland
WuXi Biologics,36230000000.0,17.0,China
Carrier,36060000000.0,43.0,USA
Anta Sports,36040000000.0,13.0,China
Wesfarmers,36010000000.0,32.0,Australia
Dupont De Nemours,36000000000.0,72.0,USA
Haleon,35960000000.0,8.0,UK
Neste,35680000000.0,46.0,Finland
Cheniere Energy,35520000000.0,143.0,USA
Larsen & Toubro,35520000000.0,25.0,India
Alcon,35460000000.0,72.0,Switzerland
TransDigm,35290000000.0,649.0,USA
Adani Green Energy,35270000000.0,22.0,India
Hilton Worldwide,35220000000.0,130.0,USA
Paccar,34880000000.0,100.0,USA
Axis Bank,34840000000.0,11.0,India
Japan Tobacco,34740000000.0,20.0,Japan
Consolidated Edison,34710000000.0,98.0,USA
Manulife Financial,34650000000.0,18.0,Canada
Asian Paints,34600000000.0,36.0,India
STMicroelectronics,34590000000.0,38.0,Switzerland
Arista Networks,34550000000.0,112.0,USA
Cummins,34390000000.0,244.0,USA
LG Chem,34370000000.0,466.0,S. Korea
Constellation Software,34240000000.0,1616.0,Canada
MediaTek,34210000000.0,22.0,Taiwan
Electronic Arts,34200000000.0,124.0,USA
Ameriprise Financial,34180000000.0,321.0,USA
Waste Connections,34150000000.0,133.0,USA
Adani Transmission,34090000000.0,31.0,India
Otis Worldwide,34090000000.0,82.0,USA
Haier Smart Home,33990000000.0,4.0,China
HCL Technologies,33950000000.0,13.0,India
Hoya,33790000000.0,95.0,Japan
Barrick Gold,33770000000.0,19.0,Canada
Hapag-Lloyd,33760000000.0,186.0,Germany
Pacific Gas and Electric,33720000000.0,16.0,USA
MPLX,33690000000.0,34.0,USA
China State Construction Engineering,33640000000.0,1.0,China
Barclays,33560000000.0,8.0,UK
AmerisourceBergen,33480000000.0,166.0,USA
Crédit Agricole,33470000000.0,11.0,France
Danone,33430000000.0,52.0,France
Old Dominion Freight Line,33220000000.0,301.0,USA
DSV,33180000000.0,151.0,Denmark
MTR Corporation,33140000000.0,5.0,Hong Kong
Ametek,33030000000.0,144.0,USA
NatWest Group,32980000000.0,7.0,UK
Welltower,32970000000.0,70.0,USA
ENGIE,32770000000.0,14.0,France
Kroger,32740000000.0,46.0,USA
BAE Systems,32720000000.0,11.0,UK
Cement Roadstone Holding,32480000000.0,44.0,Ireland
Holcim Group,32440000000.0,53.0,Switzerland
Mettler-Toledo,32310000000.0,1450.0,USA
Dollar Tree,32250000000.0,146.0,USA
D. R. Horton,32240000000.0,94.0,USA
Hang Seng Bank,32200000000.0,17.0,Hong Kong
Murata Manufacturing (Murata Seisakusho),32120000000.0,51.0,Japan
AIER Eye Hospital,32110000000.0,4.0,China
Illumina,32020000000.0,202.0,USA
Grupo México,31990000000.0,4.0,Mexico
Airports of Thailand,31930000000.0,2.0,Thailand
Vanke,31920000000.0,2.0,China
Enphase Energy,31750000000.0,234.0,USA
CITIC Bank,31750000000.0,1.0,China
Japan Post Bank,31740000000.0,8.0,Japan
Walgreens Boots Alliance,31570000000.0,37.0,USA
SBA Communications,31460000000.0,291.0,USA
China Pacific Insurance,31390000000.0,4.0,China
Experian,31380000000.0,34.0,Ireland
Keysight,31360000000.0,175.0,USA
CoStar Group,31360000000.0,77.0,USA
Bank of Ningbo,31310000000.0,5.0,China
Shanghai Pudong Development Bank,31310000000.0,1.0,China
China Overseas Land & Investment,31300000000.0,3.0,Hong Kong
Sea (Garena),31280000000.0,56.0,Singapore
PSEG,31250000000.0,63.0,USA
Singtel,31070000000.0,2.0,Singapore
Atlassian,30980000000.0,121.0,Australia
Telstra,30970000000.0,3.0,Australia
CITIC limited,30940000000.0,1.0,China
Brown Forman,30860000000.0,64.0,USA
Marvell Technology Group,30800000000.0,36.0,USA
Cognizant Technology Solutions,30700000000.0,60.0,USA
Interactive Brokers,30690000000.0,74.0,USA
Rockwell Automation,30690000000.0,268.0,USA
CaixaBank,30690000000.0,4.0,Spain
Maruti Suzuki India,30670000000.0,102.0,India
VICI Properties,30620000000.0,32.0,USA
ResMed,30590000000.0,209.0,USA
Samsung SDI,30580000000.0,217.0,S. Korea
Banco Bradesco,30480000000.0,3.0,Brazil
The People's Insurance Company (PICC),30390000000.0,1.0,China
Deutsche Börse,30380000000.0,165.0,Germany
Dell,30370000000.0,42.0,USA
People’s Insurance Company of China,30360000000.0,0.0,China
Nasdaq,30280000000.0,62.0,USA
Baker Hughes,30210000000.0,30.0,USA
PPG Industries,30200000000.0,129.0,USA
DMart,30150000000.0,47.0,India
DNB,30020000000.0,19.0,Norway
UniCredit,29970000000.0,15.0,Italy
Corning,29920000000.0,35.0,USA
WEC Energy Group,29890000000.0,95.0,USA
Eversource Energy,29880000000.0,86.0,USA
Luxshare Precision,29830000000.0,4.0,China
WEG ON,29820000000.0,7.0,Brazil
Digital Realty,29780000000.0,101.0,USA
Great Wall Motors,29760000000.0,4.0,China
Oneok,29750000000.0,67.0,USA
Hexagon,29730000000.0,11.0,Sweden
Copart,29710000000.0,62.0,USA
Restaurant Brands International,29710000000.0,66.0,Canada
Capgemini,29680000000.0,174.0,France
State Street Corporation,29600000000.0,81.0,USA
Coupang,29580000000.0,17.0,S. Korea
Nidec,29540000000.0,51.0,Japan
Vodafone,29340000000.0,11.0,UK
LyondellBasell,29330000000.0,90.0,USA
Hyundai,29320000000.0,31.0,S. Korea
Sun Pharmaceutical,29310000000.0,12.0,India
Yili Group,29290000000.0,5.0,China
Swiss Re,29280000000.0,101.0,Switzerland
Swisscom,29220000000.0,564.0,Switzerland
Chunghwa Telecom,29190000000.0,38.0,Taiwan
Ferguson,29080000000.0,140.0,UK
Bajaj Finserv,29070000000.0,17.0,India
Japan Post Holdings,29070000000.0,8.0,Japan
Telus,28970000000.0,20.0,Canada
Givaudan,28880000000.0,3130.0,Switzerland
Generali,28780000000.0,18.0,Italy
American Water Works,28770000000.0,158.0,USA
GlobalFoundries,28750000000.0,53.0,USA
Fomento Económico Mexicano,28700000000.0,80.0,Mexico
Loblaw Companies,28680000000.0,89.0,Canada
Henkel,28610000000.0,69.0,Germany
Verisk Analytics,28600000000.0,183.0,USA
Galaxy Entertainment,28540000000.0,7.0,Hong Kong
Ahold Delhaize,28460000000.0,29.0,Netherlands
Global Payments,28430000000.0,105.0,USA
Imperial Oil,28430000000.0,48.0,Canada
Genmab,28350000000.0,43.0,Denmark
Fanuc,28330000000.0,148.0,Japan
Bank Mandiri,28320000000.0,1.0,Indonesia
Compagnie de Saint-Gobain,28250000000.0,55.0,France
Discover Financial Services,28150000000.0,103.0,USA
Orange,28090000000.0,11.0,France
International Flavors & Fragrances,28040000000.0,110.0,USA
KBC,28000000000.0,67.0,Belgium
Sun Life Financial,28000000000.0,47.0,Canada
JD Health,28000000000.0,9.0,China
W. W. Grainger,27920000000.0,553.0,USA
Gree Electric Appliances,27910000000.0,5.0,China
RWE,27860000000.0,41.0,Germany
HP,27850000000.0,28.0,USA
Vestas Wind Systems,27850000000.0,28.0,Denmark
Kühne + Nagel,27810000000.0,233.0,Switzerland
SMC corp,27750000000.0,425.0,Japan
Alnylam Pharmaceuticals,27680000000.0,225.0,USA
Fastenal,27590000000.0,48.0,USA
KONE,27490000000.0,53.0,Finland
Nokia,27430000000.0,5.0,Finland
Willis Towers Watson,27430000000.0,253.0,UK
Transurban,27300000000.0,9.0,Australia
Constellation Energy,27300000000.0,84.0,USA
PTT PCL,27300000000.0,1.0,Thailand
Titan Company,27290000000.0,31.0,India
Woolworths Group,27290000000.0,22.0,Australia
Lennar,27260000000.0,96.0,USA
